cid,store_hash
14385,85fb40b01de55889a41a181b8901e5ae
14386,a330c54f997335965ce77e62c6439e26
14399,bcf325b94cac471c1aecff87260148d2
14401,2c562b51dfe02171ad00683035f31694
14403,9a3dab3fee5b6d1857fc5d1b1c658338
14404,0df74234d835d330f919455b2d5646b2
14405,6d7dd790b3d9eaff505a7232f099c6cd
14408,09bd144111c657fb0d1c28e359f7e434
14410,02c6d86c9b40f07b2bf7403e06ddb047
14415,3302efd5381f742793ec5714f568fdeb
14420,57147995070debaf84838228431b1dbd
14423,43b5b66185e66796204cb86df0a067ef
14427,e42f8f28a625853eebd3de3f2d837b8a
14437,796da7cc9a4a03833313ccff1d57e154
14457,198546f9e79c0883dc6cb862ef45993f
14459,23b0e4fb5395d6e7847bb54da158bcaa
14464,da31158a937f5547998de14db8c9ec23
14516,50bb63f492391596ff2c604045012276
14518,823b15772a14bd4498e012f13ed66abd
14532,34417edeac583e32d1cd62cadd8bf874
14539,fd47b888915fb34af0d5b1309d08c560
14545,5925fd913a4967a1395de89b23c88088
14565,d5122c089220202eb9f65ae4c0ca9b49
14576,9b6bad1433e92c301c31b85027f23aec
14586,99b56f64fd3165793377df648c82790a
14603,10e73726c7c2bc06cbb6c09d2ea68dc0
14608,8f226fdfa6f2f77c6c2a7195cd9e5f04
14611,1855a7352a9166baaa7568d44311e6d9
14615,8a5ff1cae6eabf17d42fba2ba768c772
14617,0b3918fdd86fd47e3c005f6395055d06
14647,42eee65bfd8aefeb335800f409e7079c
14655,03b1e8c337c846a4071a6662177ee484
14657,453373c7b7ac684bf0a2fc51000196e7
14658,948ef9d75f13b542201096bb1865b1bc
14670,b5db0a316b697ce42c7501491420e0a5
14674,fd9bf410bd59b9cdf4d8899c1cf287b3
14676,13f024f6e381e2a3a93bf5faf452b348
14704,0604dd6034dafe62f4efb9813a7008d9
14740,1bf22f9fe7316957729699ac408182f7
14747,93581a53a873d55645ae927e86df737a
14778,79c18c122e9152bea6b71b04b6044b61
14779,3c7d894d7331d0a025f42cd22b333169
14799,617edb98c18d28744090ce525a4544a2
14809,be046660951157d9218eec8286a2e17a
14813,daf90a650a6e6b9d547fe0a5fa828246
14816,8eb4badc67f4bf479c49402ecc2c6905
14818,b693b7e021c2996131dd0c587c0f96d4
14820,49975b661548a3b3c12f1114fd33edcd
14823,e507d1e1304551fa4575bed6f972de21
14826,ae58ac3287cc984e97712570ed767735
14827,4f2b9818238e37257b911f90339bee58
14828,0e6a5188fb07f3a30ab2a879bd752f5a
14830,cf4dcbd85b1cb3c27a0173178f9220e7
14832,3a8bcc55e779de41936fe09a2e1e0cdb
14834,021b2a9fa41f71e953c8d5ce766f5346
14835,76c0b1c23b7ca5fc4f70e087e2b2373f
14843,5070f7aba0c920cc29da7392cdcae5d1
14844,cc343211f606c0b4931c4036739d5f2e
14850,3bf195e019f594b1f03b68dda3780536
14868,4397cc73c40611b60c486dd422a5ca91
14878,ae4de7e34bd2e2006373ba2eab7c8067
14965,27f9b6259d13ad9e49f71f5c1df7589d
14979,dbda7a5b680dc2e6d7c76caa176e0239
14980,f52693ae9845e5dd9463ede62da9e9c7
14981,cd0bb643a099759496a523b4ae6b1976
15005,df00b4cf695e63ad45d093519ca1af8b
15019,b62977846a5145a68b9813a6ba134021
15021,e07a136a20eac8b046e25969c98902d6
15023,31c0966c6db28655721416598c985730
15044,99915632b7d6b3bbc9dab7e5f10eb8cc
15046,5d2558943631afe7f28404cd299fcbb2
15086,e32bb97cfe4e04a305eec2be3dc7a38b
15087,3f6a56a286cd90d2bb5067a6e11e7944
15089,ffe30ef484676f862ca2653b09c3149e
15099,858db7c07a6a88928a89edc913c1112e
15112,9f88895c64d68727ff117ffc07d42bd2
15114,0f757f9baf6d8aa72c1efe9d97f49748
15136,ee1735193e0af5944cae80165869de95
15138,be78c1097e66cc8945352cf42ce9a5d4
15139,20fd003f723e00c517e96ef3f9d956d7
15144,da9a7b3a57b96416571bfb4720aed125
15145,7f1983f45c019a1360ab502f8d0adf74
15546,0583c29461223e26639a497ac742c0cb
15553,e4e5407df94a5e6b73c238bd840f89e8
15557,545c955db45844da6e9900306cea8e7a
15558,46abd9a78c0cede3e9302dd61365268c
15565,5b4567e7433e6ede81b7a9f7495c90c7
15566,b5c8ad0dca3e65090fc942f56b7c7e88
15571,2be1a430aea88ec2ab13ae10af51b168
15573,57c5656c605fb2298d7b83ce2b375057
15576,fc94fcdcfeb26a3fc0cb3d450cefc4cc
15582,5914897832baa386e4a61dd5615ac060
15604,2c4ecf213a452f4fe8ef3e56808ac513
15605,9f71bc361d2e9cf4d2c163e7dbb75463
15606,15ccd4bdaafc4a2de20e7cc06de88b15
15609,6160729e1aa590044317bee5a710b1c6
15610,02d3036b2ed519c1cfd8470ed1fae236
15611,31adf4b7504c7500240429d9f409eeed
15613,dfc7edd7e2fe36375ddabbc776a81643
15614,d665ff028f0cd5a34d6b9b13bf16cd7d
15628,8e9ed920d07873c40a1858ef2e7a9605
15631,a4ee0b8616912553e1ba91fad0d019cd
15634,0543f54d754f63b0c03e5a27538b5c6f
15636,3947613f53f11241612701638e830f48
15639,3c3289da7d45bfb99db0324658438f37
15640,fa03c1069ff26ad1da68ae63ae0b5c1e
15641,b86803249bdaff9df16712dc0a508f1a
15643,052a3cfa8c59ab478b58f2e7729c3a7e
15646,80317bd4b61181a13e7dd833cad8f8e7
15652,04f5676237ca341159fbb4132cd65f46
15658,dcf767838da87fb79cb853ad31bc2f90
